id,user_id,account,runup_pct,signal_id,day,symbol,rule,direction,instrument,expiry,spot_entry,delta,entry_p,sl,tp,lot_size,lots,capital_used,status,exit_p,exit_at,exit_source,outcome,r_multiple,charges,pnl,equity_after,created_at,void_reason
5fb77383b86b44afa64ee7f73089d969,7a7359a5549646cdb86900026a8dd7c3,A,4.16,52c4bd5a848041f3bcfe539f1f1c5b40,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,22-Sep-2026,23308.7,-0.528,122.0,100.04,154.94,65,2,15860.0,closed,125.25,2026-09-18 05:58:13.752472,kite,TIME,0.15,85.61,336.89,99106.12,2026-09-18 05:38:10.733444,PIN_BUG fixed in 2982208
73df51fd2c52405ea1d23e44a4672b62,7a7359a5549646cdb86900026a8dd7c3,B,4.16,52c4bd5a848041f3bcfe539f1f1c5b40,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,22-Sep-2026,23308.7,-0.528,122.0,100.04,154.94,65,3,23790.0,closed,125.25,2026-09-18 05:58:13.937518,kite,TIME,0.15,104.82,528.93,119664.27,2026-09-18 05:38:10.734878,PIN_BUG fixed in 2982208
ea6b33df021a4296b3e0dd500c3cc53d,7a7359a5549646cdb86900026a8dd7c3,A,4.07,73d6b82f7b9d4a7d90dbf5de55437f3f,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23300 PE,22-Sep-2026,23294.7,-0.479,100.0,82.0,127.0,65,4,26000.0,closed,85.05,2026-09-18 06:28:38.660272,kite,TIME,-0.83,101.38,-3988.38,95117.74,2026-09-18 06:08:37.431395,PIN_BUG fixed in 2982208
0a779cf26dd14848a08f8db0e996c96f,7a7359a5549646cdb86900026a8dd7c3,B,4.07,73d6b82f7b9d4a7d90dbf5de55437f3f,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23300 PE,22-Sep-2026,23294.7,-0.479,100.0,82.0,127.0,65,5,32500.0,closed,85.5,2026-09-18 06:28:40.229600,kite,TIME,-0.81,115.2,-4827.7,114836.57,2026-09-18 06:08:37.433014,PIN_BUG fixed in 2982208
9680124b595345fe97b8087a2a990cb8,7a7359a5549646cdb86900026a8dd7c3,A,4.16,7a187384c2b04773a9b39fb3882e3e42,2026-09-18,NIFTY,WALL_REJECT,CE,NIFTY 23300 CE,22-Sep-2026,23294.7,0.524,105.3,86.35,133.72,65,3,20533.5,closed,117.35,2026-09-18 06:30:14.768581,kite,TIME,0.64,100.39,2249.36,97367.1,2026-09-18 06:10:10.591908,PIN_BUG fixed in 2982208
6953fd34aef543d1a929740dab918944,7a7359a5549646cdb86900026a8dd7c3,B,4.16,7a187384c2b04773a9b39fb3882e3e42,2026-09-18,NIFTY,WALL_REJECT,CE,NIFTY 23300 CE,22-Sep-2026,23294.7,0.524,105.3,86.35,133.72,65,3,20533.5,closed,117.35,2026-09-18 06:30:14.963897,kite,TIME,0.64,100.39,2249.36,117085.93,2026-09-18 06:10:10.593489,PIN_BUG fixed in 2982208
3288a69db0f34b32b86c657e2c07ebdb,7a7359a5549646cdb86900026a8dd7c3,A,8.43,fef7b8051ca243938b005af7998ebb94,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,22-Sep-2026,23326.95,-0.505,111.6,91.51,141.73,65,4,29016.0,closed,105.55,2026-09-18 07:00:13.492539,kite,TIME,-0.3,112.97,-1685.97,96264.89,2026-09-18 06:40:12.360973,PIN_BUG fixed in 2982208
6d6d5789ac5a454e8e7f81648f471cb5,7a7359a5549646cdb86900026a8dd7c3,B,8.43,fef7b8051ca243938b005af7998ebb94,2026-09-18,NIFTY,WALL_REJECT,PE,NIFTY 23350 PE,22-Sep-2026,23326.95,-0.505,111.6,91.51,141.73,65,4,29016.0,closed,105.55,2026-09-18 07:00:13.708943,kite,TIME,-0.3,112.97,-1685.97,116194.04,2026-09-18 06:40:12.362529,PIN_BUG fixed in 2982208
43f50e19d06a427aab1d38152a918b2a,7a7359a5549646cdb86900026a8dd7c3,A,2.75,43f6dd6b2d1a468886d6239bcece4aab,2026-09-18,NIFTY,WALL_REJECT,CE,NIFTY 23350 CE,22-Sep-2026,23326.95,0.495,87.6,71.83,111.25,65,3,17082.0,closed,91.05,2026-09-18 07:00:13.898303,kite,TIME,0.22,88.99,583.76,96264.89,2026-09-18 06:40:12.856626,PIN_BUG fixed in 2982208
f3de5c8a4b024de58aba9043b4fbbec6,7a7359a5549646cdb86900026a8dd7c3,B,2.75,43f6dd6b2d1a468886d6239bcece4aab,2026-09-18,NIFTY,WALL_REJECT,CE,NIFTY 23350 CE,22-Sep-2026,23326.95,0.495,87.6,71.83,111.25,65,4,22776.0,closed,91.05,2026-09-18 07:00:14.079533,kite,TIME,0.22,102.92,794.08,116194.04,2026-09-18 06:40:12.858926,PIN_BUG fixed in 2982208
